Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
HNRNPA2B1,8.975263867882848,3.029945560736974,276.72978451276816,0,0,834.0030994564963
CCT3,7.5363336326515915,2.533380110896541,275.34551905710117,0,0,832.5784553935534
CCT5,7.164617389395941,2.4046582866207644,274.1387419907372,0,0,831.3297310873912
COPB1,6.13568526278756,2.069772759529086,272.13622227935593,0,0,829.2435927849873
COPG1,6.760385478397649,2.2729093072741815,271.65086791409254,0,0,828.735316599649
PSMD3,6.104627788195795,2.077397068263705,270.78570029439965,0,0,827.8267006858387
EEF1G,7.493031639456935,2.4803456642527837,270.1007879141138,0,0,827.105028750904
GDI2,7.328841291642578,2.4328524868068384,268.68651654909075,0,0,825.6081976829695
RTCB,6.111772380174027,2.0941063653768484,268.58176613450877,0,0,825.496973817605
EIF4A1,7.755915244805008,2.6200298696672837,267.4546107551337,0,0,824.2970134984414
COPB2,6.741590653515722,2.2958038329140935,265.9763988186992,0,0,822.714534030044
YWHAE,7.415119837715275,2.4476156199062804,264.97660860681896,0,0,821.638521494761
PSMD2,5.7595263383244015,1.9462986984481492,264.76154206362565,0,0,821.4064535943379
TCP1,6.907460097755117,2.315128965177574,263.9223428774732,0,0,820.4988555352375
RUVBL2,6.4829685123427625,2.20596537832229,263.536632705871,0,0,820.0806048817495
DHX9,7.661220890708033,2.6097347977474943,263.53191700009967,0,0,820.0754870232759
CAPZB,6.467489460051815,2.1698522027681544,262.95241013817514,0,0,819.4457654531526
ACTN4,9.305836489918367,3.05311897897924,261.106257674108,0,0,817.4290698230323
GNB1,6.56060981101088,2.184594014484826,260.6771004968958,0,0,816.9579469233806
HDLBP,7.0664584404455555,2.392656170807335,258.94932340301165,0,0,815.0522721136354
FAM120A,5.665761962880236,1.9052602983986044,258.75810160221437,0,0,814.8404757178047
TLN1,9.164660988786421,3.0368926379258494,258.33132514405764,0,0,814.3671397955735
DDX1,6.416631523945347,2.1989852266579955,257.97115726559963,0,0,813.9669894770445
GANAB,7.776884180949633,2.593886537363251,257.12663508134756,0,0,813.0262309178729
EEF1D,7.216535803734238,2.4345151177013644,255.30307523764483,0,0,810.9828952627329
ANXA11,6.974403764910986,2.3132158327645937,255.29269105124547,0,0,810.971212393414
NONO,7.522430269659078,2.5746711872662957,254.4407131360469,0,0,810.0108509339898
EIF4G1,6.974600393447731,2.3504791246525953,252.26473424741002,0,0,807.5415024022385
IQGAP1,8.34052746659611,2.7955672629988255,252.09057756381696,0,0,807.3428290290614
SND1,7.295141805415614,2.487401380646683,251.85518420957294,0,0,807.0740527457226
HUWE1,5.8052612503345875,1.98238083060157,251.75443839899918,0,0,806.958932976443
RPS4X,7.774764316337187,2.638215197821209,249.40460841580517,0,0,804.2590445704611
RPLP0,7.076751467885472,2.4220214807721487,248.13707845856254,0,0,802.7907972420111
RPL23,7.101328300436766,2.337995274079759,246.98544416450838,0,0,801.4494853951087
HNRNPM,8.261598108731286,2.8376372849684244,246.75316819246163,0,0,801.1781034671959
PSMD11,5.840876461054158,2.007494127086604,246.5383512098938,0,0,800.9268650976844
GCN1,6.973560362336852,2.335632826058629,246.3744902563584,0,0,800.7350572638021
