Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
PLA2G4F,5.987345773380816,1.2437757862205652,52.30566717621812,4.221942447402648e-306,5.735916195208089e-304,691.1335673325854
CALB1,7.68310015898623,1.5315824072672652,52.26144178158386,8.367661376793843e-306,1.1269420817720264e-303,690.4500060808183
TRPV4,3.70921202635423,2.3833462087590886,52.243928477300976,1.0971883565308921e-305,1.4649356263750395e-303,690.1792495191426
SYT14,2.945331403361391,0.7115805459943289,52.15661764089387,4.238274450989399e-305,5.610461085207164e-303,688.8288649789924
MIOX,6.740621231611403,2.6146009025981445,52.126302831296904,6.777357520217108e-305,8.895568921451064e-303,688.35978796085
FGF1,5.268942725943747,1.9866459956958686,52.1137943712398,8.226130421636389e-305,1.070641243447936e-302,688.1662055435273
KCP,4.899167602642395,1.8815401262017826,52.101755805496786,9.91237915767303e-305,1.2793577366169991e-302,687.9798773819447
SLC6A12,4.540821203934579,2.6039554569616943,52.05793364615786,1.954473181024949e-304,2.5017256717119347e-302,687.3014672137666
EMX1,4.35957512193836,1.8348275644866685,52.033569811550585,2.8510329014496513e-304,3.6194096375124753e-302,686.9241905892312
KNG1,7.373526200005236,1.4593556128651004,51.926117773200595,1.508491244974042e-303,1.8994725530209725e-301,685.2594280652005
GATA3,4.826029986351427,1.99395083513534,51.75373406218012,2.1906373437270507e-302,2.7361767080358518e-300,682.585762577713
MMP7,7.1715223819083,2.871175531709953,51.738538501555226,2.773813716055522e-302,3.436866146741434e-300,682.3499081269523
ATP6V0A4,6.826264537900596,1.4894102525871402,51.716746258704966,3.8913948282449785e-302,4.7833272301474786e-300,682.0116162240981
EPCAM,6.954680559351322,3.1835136952446046,51.57969586260578,3.2758612570726937e-301,3.990000457696699e-299,679.8828042509887
GREB1,-5.1404949678974585,2.4098832941690262,-51.5792721359715,3.2975210394187595e-301,3.990000457696699e-299,679.8762189770885
PAQR5,4.12061856850567,2.3371948414339676,51.45601254044177,2.2446339134513577e-300,2.694952717173227e-298,677.9596857562462
SCIN,4.922658970542747,2.2480828512959397,51.412336438329405,4.430855119319381e-300,5.278852622155275e-298,677.2801392000478
PIGR,7.3222172489227715,2.7178358671300007,51.40644408146961,4.8566838110747204e-300,5.742009073734753e-298,677.1884438438565
RPS6KA1,3.505576865971868,2.8607562339836896,51.3341816049323,1.4970129204604095e-299,1.7564951600068803e-297,676.0635751445063
AIF1L,5.598587616011626,3.4403198921274103,51.32564007580848,1.7101353013514773e-299,1.991471845664036e-297,675.9305726952146
SHANK2,2.965854979952222,1.8536075833061614,51.28976381871034,2.991334153403437e-299,3.457446519993465e-297,675.3718384359912
TSPAN33,4.139102333227768,3.0842039836156125,51.10703526706664,5.172844583384097e-298,5.93459384499651e-296,672.5236483058186
CEACAM1,4.425104401463539,2.5112070075888635,50.978083465577996,3.875541934640849e-297,4.41355834439099e-295,670.5112771773985
TPD52,3.7971373670041517,2.6133378085921017,50.868926614186464,2.1347616419925725e-296,2.413371409575253e-294,668.8062700852721
CLDN10,5.187571632185923,2.588717589801524,50.84736270214418,2.9909546488903485e-296,3.35680475376911e-294,668.4692786332257
POTEE,2.361198121161022,0.5510093055322921,50.753373570957656,1.3015371694819713e-295,1.4502307684127173e-293,666.9998120588355
AXDND1,3.117944715341386,0.7023894030905565,50.70525243650387,2.7644636048100955e-295,3.058286593664197e-293,666.2470595856586
TMPRSS4,6.260735405156523,1.3795255341138015,50.68155547187846,4.006450820356407e-295,4.4008447025304985e-293,665.8762702078642
STXBP2,3.8529376864678913,3.0683436719101524,50.56756273175008,2.389789865060464e-294,2.606553903525103e-292,664.0916816542145
PKHD1,4.684536175893297,2.0648110004955065,50.549760236969774,3.158981337263179e-294,3.4214197868204277e-292,663.8128396903866
ANKRD18A,3.5296955401232237,1.0672603529814075,50.43992122407846,1.768544992370514e-293,1.902168391794064e-291,662.0915933407698
CLCNKB,6.396664955117877,1.932816450625253,50.16706071689377,1.2841883579119302e-291,1.3716902956786189e-289,657.8095398272757
NPHS1,6.209133051967352,1.2099286756527332,50.14729726795667,1.7521468716715625e-291,1.8587158046882986e-289,657.4990479205807
SLC47A2,5.838160525984752,1.4805079903743037,50.08678123479723,4.5382488581154914e-291,4.781523694863451e-289,656.5480309786568
HOXB9,5.317191732811324,1.8666047579169274,50.066765745175566,6.217744722765088e-291,6.50678582879633e-289,656.2333905236505
KCNJ1,6.464443010201333,1.5582251511216434,50.06572256789765,6.32063000429056e-291,6.570061577614242e-289,656.2169906472795
USH1C,4.850715502292632,2.5518040633980634,49.94451097961874,4.2590403301297873e-290,4.39760110887001e-288,654.3105451094615
SLC12A3,7.27930134148972,1.478838043918303,49.88090455248549,1.1598365552792186e-289,1.1896389780241415e-287,653.3094397878513
TLCD1,3.6600825404200896,2.2214163009856844,49.86932805167916,1.3918909878287304e-289,1.4182636591770642e-287,653.1271856931592
CAMSAP3,3.869320683325145,2.3666628622657355,49.86674134833404,1.4497890813535565e-289,1.4676034831375088e-287,653.0864599110747
SLC6A13,5.102832129574731,2.55361893467585,49.858447144657866,1.6521918241109992e-289,1.6616329202487763e-287,652.9558683742658
ACSM2A,5.438918430512521,2.3075589449508924,49.852936932430644,1.802053663572638e-289,1.8006585252524527e-287,652.869106105977
GCNT2,2.9430522936595134,2.111693979741352,49.5377340353836,2.6019874327262617e-287,2.5833064973118168e-285,647.9001186808292
CPT1B,3.8744397605001546,2.007507756027692,49.52862308600039,3.0047005033456056e-287,2.964127477440557e-285,647.756318157364
CLDN3,5.963956755653964,2.8137553212210817,49.51591549120209,3.672612657148771e-287,3.600090179362035e-285,647.5557347455857
LLGL2,3.6627111424317436,3.1843481518444166,49.491047863554144,5.439891401754372e-287,5.298933209457341e-285,647.1631567471348
ZNF695,2.424672673889883,0.6950628881368572,49.45673281996937,9.355660547889704e-287,9.056279410357233e-285,646.6213174404575
MND1,2.76420347902946,0.747075792013015,49.41611548629666,1.777804843933236e-286,1.7102261753315502e-284,645.9797878245582
CYP2C18,3.139303947336596,0.808818719979224,49.369178674312735,3.734011486506729e-286,3.569899376729396e-284,645.2382075371418
KCNQ2,3.2657474248650447,0.7198592393796787,49.34055777806841,5.871583280562543e-286,5.579084776033906e-284,644.7858853544141
ITGB6,5.528078539477122,2.076780312309175,49.339314457425175,5.988192748683588e-286,5.65519081046411e-284,644.766233876202
TMC4,4.809450541473554,2.7113838061546898,49.3174098797256,8.467868887956618e-286,7.948506262828611e-284,644.4199887216647
ATP6V0C,3.6764184306494174,3.1668746208812153,49.26390901804885,1.974291014441614e-285,1.8420373031127538e-283,643.5740689206665
KLHDC7A,3.8867376938485405,2.2639178610142263,49.23527117708663,3.106405091484592e-285,2.8665160987449913e-283,643.1211308508633
ARX,-4.7365028704896535,1.912601578758377,-49.23521150080554,3.1093408095890916e-285,2.8665160987449913e-283,643.120186907942
SNX10,3.399967375825614,2.619719065748377,49.232026898654674,3.2700979261793913e-285,2.9968802769625096e-283,643.0698131557099
HOXB3,4.310551925851175,2.2182986721520024,49.17585233852601,7.958185238022383e-285,7.250374880381804e-283,642.1810568593583
CCDC13,3.0246534818660478,0.7962594885214436,49.114874834463535,2.090597678987705e-284,1.8935191141614956e-282,641.2159003646389
RAB3IP,2.98179845136586,2.3969403566967173,49.02276553967275,8.999740103697887e-284,8.103952018957725e-282,639.7571770946482
CELSR1,3.3976424940423193,2.4698769277880315,48.98444660497241,1.6523103802033728e-283,1.4792475819994128e-281,639.1500381173068
CHMP4C,3.5785251266894127,2.423879110597596,48.97002202409002,2.0770036659569292e-283,1.8487719987552253e-281,638.921446254653
VAMP8,4.2751872782073015,3.9060314251845125,48.94130288507497,3.275396023188229e-283,2.898819063265102e-281,638.4662520583457
KCNC3,4.334423126060713,2.119298838824104,48.87673622997458,9.123658016925258e-283,8.028819054894227e-281,637.4425351112607
GRHL1,3.379460258024167,1.463308024570948,48.851662719944244,1.3583044683146026e-282,1.1885547799579981e-280,637.0448611541034
MYO5B,3.2647071262386818,2.2428247387364117,48.75461201498026,6.342308833235382e-282,5.518521303884809e-280,635.5049287707793
ESPN,4.644318491319725,1.9336030391022465,48.73131293668066,9.182997545113206e-282,7.945601451324768e-280,635.1350754117301
SLC36A2,6.479238929459747,1.3062314980755863,48.62517300948006,4.9609892501221886e-281,4.2686556392162476e-279,633.4494106296074
AOC1,5.960796486645007,2.7668215932791433,48.55315142180149,1.559487041122613e-280,1.334438413972764e-278,632.3048679272628
GPD1,5.300063304665436,2.4688129461605564,48.527487708855816,2.345787292223861e-280,1.9962392078001734e-278,631.8968866022875
FOXL2,-4.025214724727135,1.720462790208312,-48.46106603189019,6.750511688444381e-280,5.713219947028775e-278,630.8406208703559
AMACR,4.08915233599157,2.5068898582261667,48.45567774408377,7.355044287598787e-280,6.191028582952719e-278,630.7549121153787
ATP6V1G3,6.2753199731779645,1.1569635672834557,48.45293810577035,7.682890359377301e-280,6.4320327505965206e-278,630.7113328211739
SCN2A,3.643847582811129,0.9605683280518249,48.44361062275875,8.91269510432122e-280,7.421495794393927e-278,630.562954630543
ERP27,4.745069234055504,2.194004308636451,48.40428096236051,1.6670813863813843e-279,1.3807356423676406e-277,629.9372045240438
AGMAT,5.1074643165331715,2.374276381908021,48.377441566404244,2.5561319585316487e-279,2.1058176475392644e-277,629.5100789662167
TSFM,2.7201925946290055,2.0338281629627932,48.27552822675426,1.2964535290327003e-278,1.0624059395586488e-276,627.8874764621107
KCNJ15,4.245154340985293,2.291212850480185,48.25148962408687,1.9017893067185426e-278,1.5502585674977256e-276,627.5045777030481
GOLT1A,3.758266413557513,2.1180829022991743,48.25108104287798,1.9142163363497995e-278,1.5522189852034394e-276,627.498069056896
MTHFS,3.300929537087252,2.2272890789148883,48.22398261810674,2.94857538832458e-278,2.378517479915161e-276,627.0663526778642
PALM3,5.014593486436313,2.233756038206636,48.15938778088213,8.260220662500008e-278,6.628720083979281e-276,626.0369321106638
PTRH1,2.8457057302852076,0.8220385432361355,48.06235324028341,3.8853324249238734e-277,3.101857144186647e-275,624.4896531537714
ERBB3,4.144963286224449,2.891620208705732,47.94278785071834,2.6219817235843784e-276,2.0825257915320438e-274,622.581654728133
HOXA9,4.41779626985058,2.181846121629627,47.764068027380134,4.5642058364368674e-275,3.6066540813639896e-273,619.7267079149915
PLEKHH1,3.6312221922149277,2.168458634664626,47.76264378881189,4.669377410321234e-275,3.67103133660179e-273,619.7039422422038
ANO9,4.554650853250481,2.2423999438481887,47.74182879475293,6.514267967197582e-275,5.0956051654523314e-273,619.3712002612741
PTPRQ,3.6429629826930867,0.7206406416309382,47.72732355414575,8.215788768252605e-275,6.394278213200821e-273,619.1392955784116
DMRT2,5.754629239981278,1.1443821047568565,47.718449618964115,9.46915261020664e-275,7.332911781344021e-273,618.9974107109812
DPEP1,5.973446498966729,2.338869942966295,47.61781030748384,4.741145528399317e-274,3.65327671362431e-272,617.3876832765574
ACY3,4.893231525201856,2.4894450590151735,47.5849384597854,8.025833397631356e-274,6.153668696164081e-272,616.8616545845084
GJB1,4.486212908275444,2.123389871907738,47.53516083474574,1.7814212676688886e-273,1.3591454479633373e-271,616.0648654203849
ZC3H11A,3.1092268868583806,1.1014020671611688,47.472650405925414,4.850499882822269e-273,3.6825755973113386e-271,615.0638752774539
CRYM,4.512672569450676,2.1400963280355985,47.45739497784728,6.194122279547568e-273,4.679734920274767e-271,614.8195221296356
CYP2C19,2.554289706520725,0.5478043675238194,47.39685473042488,1.6349743657722513e-272,1.2292467464602245e-270,613.8495688476216
