Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B
WBP1,-3.9330012574373723,5.454522836450679,-69.95612140510035,3.1917399595083945e-240,8.672573419801055e-238,540.1003644142288
STAR,-6.528214494700375,5.899473214338759,-69.93574991381588,3.58928721171581e-240,9.584634540526632e-238,539.9831539432238
CYBRD1,-4.220090031849244,5.385677491778518,-69.67417882137674,1.6244562135717653e-239,4.2643352264066947e-237,538.4756066213613
PER1,-4.75220811571217,5.579311412063383,-69.65872753759984,1.7762543025390599e-239,4.5851044396208265e-237,538.3864053981157
SF1,-4.358013543449778,5.953285405101546,-69.64119034998781,1.96584169291018e-239,4.991304285211945e-237,538.2851419700767
NR2F2,-4.251447367087742,5.688934521528379,-69.61531187162734,2.283270702682966e-239,5.70375752308932e-237,538.1356750134635
TMEM120A,-3.915102451508844,5.260082074373457,-69.47269888406065,5.2140473949674165e-239,1.2818280325913548e-236,537.3111432592536
CTSF,-4.153431040695706,5.37363923473558,-69.42766930941394,6.769159868107689e-239,1.6381366880820608e-236,537.0505048395464
ENG,-4.923758200368632,5.748423786263084,-69.38234965317088,8.804135537624694e-239,2.097822326257404e-236,536.7880440592186
ISCU,-3.5726508058468873,5.406938579717574,-68.9637113997669,1.00486168941155e-237,2.3580754311524373e-235,534.356751694926
OBSL1,-4.544921396013228,5.861987641685899,-68.936419853538,1.1782189989346507e-237,2.723620276940279e-235,534.1978237489784
FCGRT,-4.077227320866971,5.568421817404674,-68.82932112319797,2.2013482885462212e-237,5.0138944548535105e-235,533.5736421423585
SHANK2,3.206842661905805,1.859094466170143,68.33127443005863,4.071100428205942e-236,9.138145424935309e-234,530.6602659751892
KAT2A,-4.535942915292961,5.8136893153126135,-68.17854721742177,9.99496347372147e-236,2.211457061157116e-233,529.7633205790654
MARCKSL1,-5.843727374205657,6.407921761221823,-68.04594786088543,2.182883695603371e-235,4.761760940493663e-233,528.9832238215865
PBX2,-3.352332579805078,5.2658071286427,-68.0005201849457,2.853520606868025e-235,6.1382398832183295e-233,528.7156764876551
PDGFRB,-4.460636390851974,5.351882269012075,-67.87257096309392,6.073419809909548e-235,1.2885633700805352e-232,527.961315967009
PABPN1,-4.168673515739025,5.819800237191916,-67.81483123940957,8.543602860148356e-235,1.78815298781051e-232,527.6205076300861
NME3,-4.206365190839407,5.196108279356632,-67.70759039095036,1.611336774824367e-234,3.327517862463973e-232,526.9868782935813
LRCH4,-3.992983084991635,5.095152644756273,-67.67889138234919,1.9097953924435192e-234,3.89196197870595e-232,526.8171695381168
ZYX,-4.322010059025808,5.759237497603732,-67.66694902554411,2.049767716325326e-234,4.1229613494086555e-232,526.7465319646383
LENG8,-5.166752178279554,6.366432265622245,-67.25408343560271,2.379172140770374e-233,4.72418180977584e-231,524.2980933000351
WDR6,-4.245633881733417,5.919097920211647,-67.18372083065333,3.617577060201523e-233,7.092282722582429e-231,523.8795752151674
TMEM109,-3.9652512941024116,5.422942818645975,-67.15371189918318,4.325967146047426e-233,8.375072394747817e-231,523.7009710190049
EMILIN1,-5.039910308579014,5.508810640445789,-67.01536634415531,9.874199092439577e-233,1.8880443894284465e-230,522.876723599868
SF3A2,-4.217637465306419,5.431706287205737,-66.98689030437504,1.1704467870268407e-232,2.2107170533502086e-230,522.706891692468
POLQ,2.8486299740992402,1.7907190268023783,66.86135435824372,2.478704232375307e-232,4.62532182542515e-230,521.9574787243687
ABHD17A,-2.8469560920834995,4.586816364477157,-66.83327413079907,2.9321466568897317e-232,5.406319931179543e-230,521.7896886721524
TBC1D17,-3.4685659028875846,5.08031016865246,-66.59763925832327,1.20345728865184e-231,2.1928407631340823e-229,520.3793795802434
WBP2,-3.804643879944661,5.54745591334647,-66.53788141761045,1.722799594402165e-231,3.1026418741977595e-229,520.0210650504076
JUND,-5.432202661466906,6.420809280978694,-66.48947524529132,2.3042322750283667e-231,4.102063158119465e-229,519.7306215681627
EML3,-3.0408479343316643,4.79937944616092,-66.39410555552602,4.0885190877227296e-231,7.195793594392003e-229,519.1578798503076
FAM83B,3.0866810882399243,1.7597393714314877,66.35661675777479,5.123197996966848e-231,8.915515795171073e-229,518.9325554415608
ZBTB4,-3.1336765100410036,5.1615391696794,-66.31382937144278,6.628561139314443e-231,1.1407017213966902e-228,518.675255852702
FAM210B,-3.6277806523198204,5.264612376812099,-66.26887015688767,8.690402191466629e-231,1.479087353202584e-228,518.4047486087445
PFKM,-2.9616140417593058,4.801082038424959,-66.0391115986916,3.4765394803861403e-230,5.852678638284842e-228,517.0199894447878
SLC40A1,-4.648598175158622,5.604020476857012,-66.03295348695907,3.6083505944614397e-230,6.009261721184815e-228,516.9828198449185
STAT6,-3.900332761018049,5.661002203849562,-65.84160088543308,1.1484601398522892e-229,1.8922713453225802e-227,515.8264159784466
PPP1R12C,-3.73005027554965,5.221624975433528,-65.80628453833445,1.4224770696876693e-229,2.319086826876065e-227,515.612686245552
ST6GALNAC6,-4.110886601143948,5.257788487371157,-65.66206835750687,3.411537857432029e-229,5.503947743323673e-227,514.7389303095969
FMOD,-5.0704602215764645,5.472605889852274,-65.6266052220806,4.231302414052038e-229,6.756124926684327e-227,514.5238300884878
CLK1,-4.4549034359357,5.921546099297275,-65.55822492152163,6.410972728807971e-229,1.0131953635079373e-226,514.1088026906367
MLLT6,-3.2832819316277284,5.364083404665027,-65.48658937182906,9.911256867186613e-229,1.5505610743331947e-226,513.6736368244455
TFAP2A,3.3371039486951295,2.100892975253818,65.37891700994399,1.9091140342456746e-228,2.956835816239701e-226,513.0188226601825
MAN2C1,-3.6220829460292356,5.297060278722795,-65.3038355731819,3.0170696085301774e-228,4.6265716927638994e-226,512.5616884689837
UQCRH,-4.783241479275803,5.629959949781436,-65.20406968703563,5.545882391241515e-228,8.421041811328293e-226,511.953596304593
WFS1,-3.872140279777434,5.162185577230835,-65.20244772931018,5.60107842964223e-228,8.422281817310569e-226,511.943703871554
TGFBR3,-3.5342544677086707,4.9763518044206805,-65.18934252652242,6.06773131875795e-228,9.036252179319533e-226,511.8637669390855
ARGLU1,-3.824569675167275,5.521068028616835,-65.14452697189546,7.978460142336806e-228,1.1768608636620232e-225,511.59030907106774
SPRYD3,-3.1412722041916528,4.9348283573291996,-64.98498373889419,2.1169818158628934e-227,3.093190034347594e-225,510.615549288309
MAOB,-5.015009840784684,5.178521548150851,-64.93939690436989,2.798759818124815e-227,4.051139445151134e-225,510.33666850133955
NAB2,-3.488474135857113,5.0588893984405185,-64.91577155552658,3.2346685086848285e-227,4.6387542465287616e-225,510.1920757699319
CDKN1C,-5.124066317402814,5.486583551331971,-64.84762224612227,4.912140908586707e-227,6.979746641485406e-225,509.7747448927536
PKHD1,3.2503902750426867,1.7998212316623383,64.79351070777453,6.84617272971386e-227,9.639411203437115e-225,509.4431229881136
LDB1,-4.396683423406719,5.665608375656305,-64.74553442618954,9.190932093450787e-227,1.2824248312014936e-224,509.1489118098448
TAF1C,-3.4097961316867247,5.105763145289258,-64.70668472595123,1.1667956546319914e-226,1.613511705262525e-224,508.9105383712342
CDIPT,-3.9325800169442395,5.599045203133317,-64.64709675945521,1.6828654082594744e-226,2.3065680923117473e-224,508.5446924157185
GABBR1,-3.8632606881719402,5.051827177389187,-64.51004095635285,3.911429251240052e-226,5.314054056421573e-224,507.7021807994256
HADHA,-3.3109920974554354,5.443012629883278,-64.43345612888176,6.270258124726118e-226,8.444674594413748e-224,507.2307619629805
SRSF5,-5.024765006918836,6.317411236433545,-64.39655210436307,7.872547479828797e-226,1.0511208221343828e-223,507.0034358627121
LAMB2,-4.330891006678461,6.00775541170927,-64.30937651373178,1.3482042196452692e-225,1.7846997396466608e-223,506.46601918854856
RAB11B,-3.9934028603271323,5.441006822617262,-64.19551006681263,2.7246864087222625e-225,3.5762663642618984e-223,505.76316644198175
ACTR1B,-3.331181010928716,5.19108915749363,-64.17373151351389,3.1175196770173075e-225,4.0301597383263555e-223,505.62862054242976
AP2A1,-3.0868080326105325,5.003571818250266,-64.17347130508053,3.12254111957104e-225,4.0301597383263555e-223,505.62701277429755
MINK1,-3.6815120090525166,5.3207728967947565,-64.12726752667392,4.1558077712520726e-225,5.319433947202653e-223,505.3414462106766
NSA2,-3.801404549303408,5.616529419049514,-64.1104002573632,4.613122364793039e-225,5.856396654583163e-223,505.2371548920505
SRRT,-3.3223537691749314,5.394289701610767,-64.10855084417706,4.6662372520155756e-225,5.875665248716849e-223,505.22571850535553
LUC7L2,-3.083583916598601,5.038724700331534,-64.02129222243842,8.010855933338981e-225,1.0005817475447915e-222,504.6858244704224
ARHGAP21,-2.7558450727431834,4.869896589494455,-63.938285931271196,1.3402710095480374e-224,1.6606493916704004e-222,504.1716860162171
TMEM43,-3.5084232095536976,5.326714192996535,-63.92262871911652,1.4769967392999714e-224,1.8155337697046e-222,504.0746449957388
EFEMP1,-4.530877651220546,5.530798890087908,-63.89287492116645,1.7765251752002154e-224,2.1665214105118847e-222,503.8901823203928
PPT2,-3.7109062448164227,4.875967846863582,-63.86743430758712,2.080473895070239e-224,2.5173734130349893e-222,503.73240453855294
MXRA8,-4.601903503402859,5.342466115685975,-63.838925686876685,2.483425058380832e-224,2.9816501786203355e-222,503.5555389897878
PRELP,-5.246927844363588,5.248821708759626,-63.799185914763534,3.178899931431453e-224,3.787292472154642e-222,503.3088892436872
ANXA6,-4.027375725459825,5.420181611336438,-63.756104302462695,4.155089786500152e-224,4.912521420863691e-222,503.0413572169589
MYO15B,-4.075922558982389,5.196213619841901,-63.69662952844755,6.015104421817326e-224,7.057722521598996e-222,502.67178463961505
RPL22,-5.023209728632965,6.46145364352016,-63.647451685005855,8.169236544965232e-224,9.51316809085876e-222,502.3659853470939
UBXN1,-4.250821327186115,5.89251895575135,-63.58906111074872,1.1752524500578968e-223,1.358381339290799e-221,502.00265058075763
CNN2,-4.044941222885558,5.786400194527723,-63.55428726837157,1.4596601801809335e-223,1.6746086570846146e-221,501.7861423543172
SPARCL1,-5.230791509143315,5.962517359480461,-63.55114138547362,1.4885677491019312e-223,1.6952159778007875e-221,501.76655079000733
CHPF,-4.070726927144815,5.689885565067529,-63.48468344253526,2.2530425952141458e-223,2.547089322239175e-221,501.352488219374
HKDC1,3.4466317098162196,2.080584761448949,63.47819266517395,2.3461606181765593e-223,2.633140264805692e-221,501.31202899250053
ULK1,-3.4158803755842664,4.93091907501318,-63.44655637374331,2.8582792760052934e-223,3.184822260918704e-221,501.1147812955382
DPF2,-2.562074213148627,4.754423246908507,-63.425383084617344,3.2622097848430386e-223,3.6089360819749276e-221,500.9827244686714
EMD,-4.407077256822845,5.649105255543871,-63.31916742498602,6.3347201394867915e-223,6.958308192934144e-221,500.3197239933398
CRY2,-3.08930909108481,4.755904399135752,-63.31677540941095,6.430172485014449e-223,7.013416299148153e-221,500.3047826345175
SAFB,-3.189230687970128,5.1669717948036045,-63.205099070310446,1.2932542397697001e-222,1.4006938227659522e-220,499.6067054237174
TBC1D2B,-3.116848436467676,4.739929827071111,-63.19616919011127,1.3676277506398983e-222,1.4709596251326905e-220,499.5508426765562
MTFR1L,-2.7966926307098383,4.878216851533434,-63.19332275855053,1.392223928687035e-222,1.4870871867244688e-220,499.53303488489803
ISLR,-5.14472836851624,5.551168118930703,-63.172819077636305,1.582994540888915e-222,1.6792753047457201e-220,499.4047410087082
ZNF512,-2.8433170818653934,4.701976373280324,-63.0727979747908,2.963102546003845e-222,3.1219409681977926e-220,498.77841535101487
CPSF7,-3.0566755501349245,5.135763115892147,-63.02746257942925,3.937931040867594e-222,4.1209916189836014e-220,498.4942641542875
CSDC2,-5.362524007545481,5.303324111808829,-63.01639484551077,4.221183351850794e-222,4.3877642787560475e-220,498.42486927199093
MYL9,-5.505224028975273,6.239076596073302,-63.00001804823034,4.678196383740278e-222,4.830393706091295e-220,498.32216844292685
MZT2B,-3.899377791415027,5.433213845102792,-62.904490985865856,8.524658244009651e-222,8.743702442597449e-220,497.72267780057894
CTDSP2,-4.028421675940043,5.625097595185959,-62.82493354129564,1.405892898601398e-221,1.4325308693117403e-219,497.22284628835524
PAGR1,-4.098484455570109,5.1965751127109385,-62.77079194787116,1.976703445726356e-221,2.0009923508110982e-219,496.882402173051
GSN,-4.740998176335897,5.996821832173332,-62.72156661852855,2.6951407965678735e-221,2.7105416011196897e-219,496.57266653135326
MEF2D,-2.8366319398349193,4.7934295352640985,-62.495438672496725,1.1224540344435894e-220,1.121585037771762e-218,495.14730775564993
INTS3,-3.2995660421502397,5.386264204989987,-62.493918838449616,1.1332844805722968e-220,1.1251480791733162e-218,495.13771373158596
RPS17,-6.455154032643561,7.086361065782443,-62.46692565459432,1.344066852810635e-220,1.3259176698300074e-218,494.9672867627803
